FID,ZONE,ROW_,WEST_VALUE,CM_VALUE,EAST_VALUE
386,29,M, 12W,  9W,  6W
387,45,R, 84E, 87E, 90E
388,50,U,114E,117E,120E
389,9,K,132W,129W,126W
390,30,M,  6W,  3W,0E/W
391,51,U,120E,123E,126E
392,46,R, 90E, 93E, 96E
393,10,K,126W,123W,120W
394,31,M,0E/W,  3E,  6E
395,47,R, 96E, 99E,102E
396,52,U,126E,129E,132E
397,11,K,120W,117W,114W
398,32,M,  6E,  9E, 12E
399,48,R,102E,105E,108E
400,53,U,132E,135E,138E
401,12,K,114W,111W,108W
402,33,M, 12E, 15E, 18E
403,54,U,138E,141E,144E
404,13,K,108W,105W,102W
405,49,R,108E,111E,114E
406,34,M, 18E, 21E, 24E
407,55,U,144E,147E,150E
408,50,R,114E,117E,120E
409,56,U,150E,153E,156E
410,35,M, 24E, 27E, 30E
411,14,K,102W, 99W, 96W
412,51,R,120E,123E,126E
413,36,M, 30E, 33E, 36E
414,15,K, 96W, 93W, 90W
415,52,R,126E,129E,132E
416,57,U,156E,159E,162E
417,16,K, 90W, 87W, 84W
418,37,M, 36E, 39E, 42E
419,53,R,132E,135E,138E
420,58,U,162E,165E,168E
421,17,K, 84W, 81W, 78W
422,38,M, 42E, 45E, 48E
423,59,U,168E,171E,174E
424,54,R,138E,141E,144E
425,39,M, 48E, 51E, 54E
426,18,K, 78W, 75W, 72W
427,60,U,174E,177E,180E
428,55,R,144E,147E,150E
429,1,T,180W,177W,174W
430,19,K, 72W, 69W, 66W
431,40,M, 54E, 57E, 60E
432,2,T,174W,171W,168W
433,20,K, 66W, 63W, 60W
434,3,T,168W,165W,162W
435,41,M, 60E, 63E, 66E
436,56,R,150E,153E,156E
437,4,T,162W,159W,156W
438,57,R,156E,159E,162E
439,42,M, 66E, 69E, 72E
440,21,K, 60W, 57W, 54W
441,58,R,162E,165E,168E
442,43,M, 72E, 75E, 78E
443,22,K, 54W, 51W, 48W
444,59,R,168E,171E,174E
445,23,K, 48W, 45W, 42W
446,44,M, 78E, 81E, 84E
447,24,K, 42W, 39W, 36W
448,45,M, 84E, 87E, 90E
449,60,R,174E,177E,180E
450,25,K, 36W, 33W, 30W
451,46,M, 90E, 93E, 96E
452,1,Q,180W,177W,174W
453,2,Q,174W,171W,168W
454,26,K, 30W, 27W, 24W
455,47,M, 96E, 99E,102E
456,3,Q,168W,165W,162W
457,27,K, 24W, 21W, 18W
458,48,M,102E,105E,108E
459,4,Q,162W,159W,156W
460,5,Q,156W,153W,150W
461,28,K, 18W, 15W, 12W
462,49,M,108E,111E,114E
463,29,K, 12W,  9W,  6W
464,6,Q,150W,147W,144W
465,50,M,114E,117E,120E
466,5,T,156W,153W,150W
467,30,K,  6W,  3W,0E/W
468,6,T,150W,147W,144W
469,7,Q,144W,141W,138W
470,51,M,120E,123E,126E
471,31,K,0E/W,  3E,  6E
472,8,Q,138W,135W,132W
473,7,T,144W,141W,138W
474,52,M,126E,129E,132E
475,9,Q,132W,129W,126W
476,32,K,  6E,  9E, 12E
477,8,T,138W,135W,132W
478,53,M,132E,135E,138E
479,10,Q,126W,123W,120W
480,33,K, 12E, 15E, 18E
481,9,T,132W,129W,126W
482,54,M,138E,141E,144E
483,11,Q,120W,117W,114W
484,12,Q,114W,111W,108W
485,34,K, 18E, 21E, 24E
486,10,T,126W,123W,120W
487,55,M,144E,147E,150E
488,13,Q,108W,105W,102W
489,35,K, 24E, 27E, 30E
490,11,T,120W,117W,114W
491,56,M,150E,153E,156E
492,36,K, 30E, 33E, 36E
493,14,Q,102W, 99W, 96W
494,12,T,114W,111W,108W
495,57,M,156E,159E,162E
496,37,K, 36E, 39E, 42E
497,15,Q, 96W, 93W, 90W
498,13,T,108W,105W,102W
499,58,M,162E,165E,168E
500,38,K, 42E, 45E, 48E
501,16,Q, 90W, 87W, 84W
502,14,T,102W, 99W, 96W
503,59,M,168E,171E,174E
504,17,Q, 84W, 81W, 78W
505,39,K, 48E, 51E, 54E
506,15,T, 96W, 93W, 90W
507,60,M,174E,177E,180E
508,18,Q, 78W, 75W, 72W
509,40,K, 54E, 57E, 60E
510,16,T, 90W, 87W, 84W
511,1,L,180W,177W,174W
512,19,Q, 72W, 69W, 66W
513,41,K, 60E, 63E, 66E
514,42,K, 66E, 69E, 72E
